"id","author","description","guid","to","likecount","link","pubdate","replycount","title","authorChannelUrl"
"25","@Blacklist78","Otw transisi nih hahahaha","Ugwin-sGf6uUhvnZIR94AaABAg","","1","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugwin-sGf6uUhvnZIR94AaABAg","5/28/2024 21:07","0","Otw transisi nih hahahaha","http://www.youtube.com/@Blacklist78"
"26","@alfaqih2182","Provider bisa kah up ke satelit","Ugy2-Csjs_YKaIwfCap4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugy2-Csjs_YKaIwfCap4AaABAg","5/28/2024 20:17","0","Provider bisa kah up ke satelit","http://www.youtube.com/@alfaqih2182"
"27","@Frengkyy_","Jangkauan koneksinya seberapa jauh bang?","UgwLXY3idwNk1EIPPOF4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwLXY3idwNk1EIPPOF4AaABAg","5/28/2024 20:14","0","Jangkauan koneksinya seberapa jauh bang?","http://www.youtube.com/@Frengkyy_"
"28","@rudys138","wah.. saham saham internet provider bakal hancur belur ini ðŸ˜‚","UgwpWswTz2fkaMTxSWt4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwpWswTz2fkaMTxSWt4AaABAg","5/28/2024 20:07","0","wah.. saham saham internet provider bakal hancur belur ini ðŸ˜‚","http://www.youtube.com/@rudys138"
"29","@shadowkai1087","penasaran powerbanknya apa itu..?","UgyuynIbTLEIS7WMWE94AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyuynIbTLEIS7WMWE94AaABAg","5/28/2024 19:40","0","penasaran powerbanknya apa itu..?","http://www.youtube.com/@shadowkai1087"
"30","@veriveri5442","Bang udah ada blum ya toko yg jual Starlink Standar Kit Tersebut.?? Soal nya saya coba beli di website Starlink Susah bener karna harus pake Kartu Kredit","UgzhqaQ_Jgj3E81dEw94AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgzhqaQ_Jgj3E81dEw94AaABAg","5/28/2024 19:12","0","Bang udah ada blum ya toko yg jual Starlink Standar Kit Tersebut.?? Soal nya saya coba beli di website Starlink Susah bener karna harus pake Kartu Kredit","http://www.youtube.com/@veriveri5442"
"31","@cloudgaming2680","ping 50 buat competitive fps game kayaknya susah","UgyI_qS1rCy761DFsCR4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyI_qS1rCy761DFsCR4AaABAg","5/28/2024 19:05","0","ping 50 buat competitive fps game kayaknya susah","http://www.youtube.com/@cloudgaming2680"
"32","@arka672","Persentase Di maling 100%","Ugx-af-cbJfwekKH_X54AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugx-af-cbJfwekKH_X54AaABAg","5/28/2024 18:36","0","Persentase Di maling 100%","http://www.youtube.com/@arka672"
"33","@donnyl2756","Bang bahas Oppo Reno 12","UgwIPlPfLAoz5AE1NHh4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwIPlPfLAoz5AE1NHh4AaABAg","5/28/2024 18:29","0","Bang bahas Oppo Reno 12","http://www.youtube.com/@donnyl2756"
"34","@itikpler7398","Aduh harus beli paket lgi mahal pula","Ugzwvc4wFF19vcRsnkR4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugzwvc4wFF19vcRsnkR4AaABAg","5/28/2024 17:01","0","Aduh harus beli paket lgi mahal pula","http://www.youtube.com/@itikpler7398"
